Date: 2025-12-29T21:14:25Z
Duration: 159m 1s

[01:01-01:04] Ivan Belyankin:  Вроде все запустилось.
[01:06-01:10] Ivan Belyankin:  Тем, кто подключается с камерами, уже прям молодцы.
[01:10-01:16] Denis Sh:  Вижу много ребят, кого уже предупредил Рекомендую всех прям подключаться именно с камерами. Почему?
[01:16-01:21] Denis Sh:  Потому что сегодня будет прям практическая встреча, как была ровно год назад.
[01:21-01:24] Denis Sh:  Единственное нюанс, что она будет в онлайне.
[01:24-01:29] Denis Sh:  Но я думаю, это не помешает нам провести максимально эффективно эту встречу.
[01:29-01:33] Denis Sh:  Ведь она будет модерироваться мной и Павел.
[01:33-01:41] Denis Sh:  Паша, здесь уже, большинство участников уже здесь, мы не будем тянуть время и сразу приступим к делу.
[01:41-01:51] Denis Sh:  Для многих эта встреча будет больше продолжением прошлогодной встречи, которая была ровно год назад, 24 декабря 2024 года, мы проводили такую встречу в БНСР, если в оффлайне.
[01:51-01:55] Denis Sh:  Многим из вас уже был доступен.
[01:56-01:59] Denis Sh:  была доступна канальная единица записи той встречи.
[01:59-02:04] Denis Sh:  Поэтому будет здорово, если сейчас поставите в чате плюсик, если посмотрели.
[02:04-02:10] Denis Sh:  Для вас сегодняшняя встреча будет максимально продуктивной, потому что вы уже в контексте.
[02:10-02:18] Denis Sh:  Ну а те, кто еще не посмотрел, вы не расстраиваетесь, я думаю, догоните по ходу встречи. Вот.
[02:17-02:21] Denis Sh:  Паша, у тебя как с микрофона? Все окей? Все работает?
[02:22-02:26] Denis Sh:  Это я шучусь. Все супер.
[02:26-02:29] Denis Sh:  Был на прошлой встрече. Плюсики есть.
[02:29-02:30] Denis Sh:  Да, ребят, подключайтесь с камерой.
[02:31-02:34] Denis Sh:  Давайте вы сейчас. После встречи. Бывал, да?
[02:34-02:37] Denis Sh:  Это у меня аватар был? Все нормально? Хорошо.
[02:37-02:39] Denis Sh:  Сегодня в записи есть. Помните?
[02:41-02:44] Denis Sh:  Сегодня этот автовебинар. Окей.
[02:45-02:49] Denis Sh:  Ребята, у нас примерно, я думаю, 90 минут общего времени.
[02:49-02:51] Denis Sh:  Наша задача какая?
[02:52-03:02] Denis Sh:  В целом вот этот эфир, он в фристайл-формате пройдет, но есть очень интересный смысл, который хотелось бы затронуть и по которому пройти через практики.
[03:03-03:13] Denis Sh:  Многие из нас любят ставить цели на год, многие подводить итоги, делиться этими итогами в социальных сетях.
[03:13-03:25] Denis Sh:  Но часто бывает такое, вот по себе скажу, что целей много поставил, а потом к концу года смотрю, такое, о, про это я вообще забыл, а это я даже Чтобы даже не приблизился.
[03:25-03:27] Denis Sh:  А вот это это слишком амбициозно, как будто.
[03:27-03:33] Denis Sh:  Что-то как-то год назад я как-то с розовыми очками сидел и наблюдал на это все.
[03:33-03:37] Denis Sh:  И в конечном итоге я пришел так, ну а нужно ли вообще эти цели ставить?
[03:37-03:47] Denis Sh:  И ставить ли их нужно вот так вот через навязанное какое-то мнение и внешние обстоятельства, или же через внутреннюю какую-то основу, или через внутреннюю рефлексию.
[03:48-03:53] Denis Sh:  На прошлой встрече Паша подсветил, что ключевая ценность постановки целей <unk> это чувствование.
[03:53-03:59] Denis Sh:  И в первую очередь нужно отталкиваться от своих телесных ощущений, вообще откликается, не откликается.
[03:59-04:10] Denis Sh:  Я ровно год занимался плотно как раз развитием внутри себя чувствования, понимания, ощущениям, на что у меня есть, ну, как бы.
[04:10-04:23] Denis Sh:  Фокус внимания в плане того, как вот душа лежит, а не так, чтобы прям вот хотелось новую машину, которая уже и так есть, или там новый электровелосипед, который уже и так есть, новую квартиру, которая уже и так есть, ну и так далее.
[04:23-04:30] Denis Sh:  В общем, за год много чего изменилось, но я до сих пор нахожусь в изучении.
[04:30-04:38] Denis Sh:  И сегодня предлагаю всем нам через определенные практики сфокусироваться.
[04:37-04:43] Denis Sh:  на то, что может с наибольшей вероятностью дать результат в следующем году.
[04:43-04:48] Denis Sh:  С учетом изменений, с учетом трендов, которые сейчас на рынке происходят.
[04:48-04:57] Denis Sh:  Большинство из нас занимаются предпринимательской деятельностью, ведут собственные бизнесы, занимаются инвестициями.
[04:57-05:03] Denis Sh:  И судя по вчерашним опросам, в группе разборов.
[05:01-05:11] Denis Sh:  Заметил такой тренд, что многие либо остались в том же положении, что и в предыдущем году, а есть еще и ребята, которые и отстали от результатов предыдущего года.
[05:11-05:15] Denis Sh:  И это еще один показатель того, что.
[05:13-05:17] Denis Sh:  Но что-то, видимо, делают другие иначе.
[05:17-05:23] Denis Sh:  Коль я вижу альтернативную картину вовне, где результаты все-таки растут.
[05:23-05:51] Denis Sh:  Что же они делают, как они достигают этих результатов, на что стоит обращать внимание, с учетом того ресурса, который есть у Паши, Мы сегодня можем поднять и перенять это и попробовать сфокусироваться на действительно результативных вещах, которые будут нас вдохновлять, которые будут по нашим сильным сторонам которые будут идти через нашу мотивацию, через мою мотивацию, вашу мотивацию, и что позволит нам, возможно, сплочиться и.
[05:52-06:05] Denis Sh:  как-то совместно преодолеть трудности, помочь друг другу, потому что я считаю, что текущим ресурсом, который есть на сегодняшний день вокруг нас, это навык объединения, навык помощи.
[06:06-06:07] Denis Sh:  поддержки друг друга.
[06:07-06:21] Denis Sh:  Вот на основе этих идей, на основе этой идеологии я бы хотел с вами провести эту встречу, быть максимально включенным и разобраться, что мы будем делать дальше и что действительно нас будет вдохновлять.
[06:21-06:25] Denis Sh:  Паш, это было такое вводное слово.
