Date: 2026-01-15T09:52:36Z
Duration: 202m 52s

[00:00-00:00] Speaker 0:  Ну как ты?
[00:02-00:03] Speaker 0:  А, вот ты уже Игорь.
[00:03-00:06] Speaker 0:  Все, тебя кто-то переменовал.
[00:06-00:10] Speaker 0:  Так, Медея, тебя Медея зовут? Да.
[00:10-00:13] Speaker 0:  Привет, Медея и Дмитрий.
[00:13-00:15] Speaker 0:  И Дмитрий, да?
[00:15-00:24] Speaker 0:  Значит, у нас вот из тех людей, с кем мы планируем дальше захватывать мир, Артем, Семен.
[00:24-00:27] Speaker 0:  Артур, Игорь, Медея и Дмитрий.
[00:27-00:28] Speaker 0:  Шесть человек, пока Наташ, да?
[00:28-00:31] Speaker 0:  Тот самый Шобракт, который мы целились.
[00:32-00:33] Speaker 0:  Вот он, да.
[00:33-00:40] Speaker 0:  Все, остальные они там, типа, поно золотух, через час, может быть, присоединятся. Все, хорошо. Хорошо.
[00:40-00:42] Speaker 0:  Так, значит, небольшое вводное слово.
[00:42-00:45] Speaker 0:  Во-первых, ребят, приветствую, очень рад вас видеть.
[00:44-00:47] Speaker 0:  Вот, а во-вторых, да, да, привет большой.
[00:47-00:50] Speaker 0:  Вот, а во-вторых, добро пожаловать в 2026.
[00:50-00:57] Speaker 0:  А, вон еще Женя. Присоединяется. Женя, здорова. Да, привет.
[00:57-00:58] Speaker 2:  Я давно здесь.
[00:58-00:59] Speaker 0:  А, ты давно здесь? Да?
[00:59-01:03] Speaker 0:  Включитесь камеры, если еще кто-то есть, потому что иначе я вас не вижу.
[01:03-01:06] Speaker 0:  Он мне не показывает то, что без камеры включенных.
[01:09-01:18] Speaker 0:  Так, а у нас не включенная камера, только у тебя она тоже давает горячий глаз, да, организовать второй, видимо, какой-то еще, да, локкаунт? Хорошо. Ага. Так, хорошо.
[01:18-01:26] Speaker 0:  Все, ребята, значит, ключевая идея, что в 2026 году сейчас какое-то количество людей..
[01:26-01:42] Speaker 0:  попадет в абсолютно новую форму взаимодействия с рынком, и рынок трясет просто по полной программе мировой и российский С такой скоростью, что за месяц, за два, за три меняются вообще все правила игры с ног на голову от начала до конца.
[01:42-01:45] Speaker 0:  От блокировок там социальных сетей до.
[01:45-01:58] Speaker 0:  там какой-нибудь захватили какой-нибудь президент Венесуэлы и, короче, и какие-нибудь ввели новые санкции, и как бы раз в неделю происходит какой-нибудь там захват мира Что завтра будет происходить, совершенно непонятно.
[01:58-02:05] Speaker 0:  То есть, есть некоторое глобальное изменение, которое сейчас требует очень быстрой реакции.
[02:05-02:10] Speaker 0:  Значит, самый основной показатель, который по миру супер востребован, это эффективность.
[02:10-02:11] Speaker 0:  Что это означает?
[02:11-02:15] Speaker 0:  Резкое снижение издержек с максимальным КПД.
[02:15-02:18] Speaker 0:  То есть это то, что прям ближайшие несколько месяцев делают примерно.
[02:19-02:20] Speaker 0:  9 из 10 предпринимателей.
[02:20-02:26] Speaker 0:  Те, кто это не сделают, у них прямо сейчас все нахрен вылетает почва из-под ног, просто напрочь.
[02:26-02:28] Speaker 0:  Кто-то это делает уже примерно начиная с августа.
[02:28-02:30] Speaker 0:  Вот я в том числе.
[02:30-02:33] Speaker 0:  Вот кто-то еще верит, что там все будет нормально на старых каких-то запасах.
[02:33-02:35] Speaker 0:  Я только что вот ужинал с девочкой одной.
[02:35-02:36] Speaker 0:  У нее все очень хорошо.
[02:36-02:39] Speaker 0:  Вот сейчас кассовый разрыв начинается. Сейчас.
[02:38-02:42] Speaker 0:  Вот она ждет, что привезет ее оборудование, и она этот кассовый разрыв управляет.
[02:42-02:50] Speaker 0:  Я прям только что вот так ее тряс и говорил: Оля, сейчас же спрыгивай на самые, что ни на есть, низкие показатели по поддержанию бизнеса.
[02:50-02:53] Speaker 0:  И не из минуса будешь выходить в ноль.
[02:53-02:55] Speaker 0:  А из нуля будешь стараться выходить в плюс.
[02:55-02:59] Speaker 0:  Не жди, что сейчас произойдет в этот момент, когда ты начнешь вверх расти.
[02:59-03:03] Speaker 0:  То есть кассовый разрыв сейчас же сокращает до стадии положительного.
[03:03-03:13] Speaker 0:  баланса, то есть, усушку бизнеса делаешь вот прямо сейчас в моменте, потому что это придется делать в марте, или там, ну, вот в феврале, но прямо сейчас.
[03:13-03:17] Speaker 0:  То есть, сейчас верить в то, что удастся сохранить, Предыдущие показатели не приходят.
[03:17-03:28] Speaker 0:  Сейчас надо прям порождать новые стратегии - это долгосрочная игра, а в короткую сейчас надо очень резко сжаться до предельного уровня эффективности.
[03:28-03:28] Speaker 0:  Тот,
[03:28-03:34] Speaker 0:  кто это прямо сейчас не сделает, не повысит резко КПД, проигрывает тем, кто это сделает.
[03:34-03:36] Speaker 0:  А это делают сейчас просто 9 из 10.
[03:36-03:36] Speaker 0:  Значит,
[03:36-03:37] Speaker 0:  парни,
